%Time [yyyymmddhh] Hs [m] Tp [s] Dir [deg]
199001221500	1.38	6.16	288.07
199001221800	1.38	5.9	291.26
199001222100	1.35	5.75	294.82
199001230000	1.27	5.7	297.88
199001230300	1.22	5.83	301.32
199001230600	1.23	5.96	304.7
199001230900	1.21	6.03	305.43
199001231200	1.13	6.02	305.56
199001231500	1.03	5.96	306.58
199001231800	0.88	5.83	308.14
199001232100	0.73	5.63	309.62
199001240000	0.62	5.42	311.01
199001240300	0.54	5.2	311.92
199001240600	0.46	4.95	312.08
199001240900	0.38	4.68	311.57
199001241200	0.31	4.4	310.6
199001241500	0.25	4.14	309.29
199001241800	0.2	3.92	307.45
199001242100	0.15	3.73	304.95
199001250000	0.12	3.6	301.47
199001250300	0.09	3.39	291.36
199001250600	0.08	3.16	256.8
199001250900	0.09	3	192.01
199001251200	0.13	3.22	177.02
199001251500	0.18	3.61	175.71
199001251800	0.19	4.05	175.03
199001252100	0.21	4.25	174.87
199001260000	0.23	4.41	175.38
199001260300	0.27	4.73	175.24
199001260600	0.32	4.87	175.42
199001260900	0.35	4.83	176.36
199001261200	0.36	4.94	176.79
199001261500	0.35	5.12	176.75
199001261800	0.35	5.18	176.46
199001262100	0.37	5.06	177.39
199001270000	0.37	5.05	179.13
199001270300	0.37	4.95	182.12
199001270600	0.34	4.75	185.21
199001270900	0.31	4.42	189.17
199001271200	0.28	4.15	189.61
199001271500	0.24	3.98	186.61
199001271800	0.21	3.8	186.61
199001272100	0.17	3.72	186.54
199001280000	0.17	4.02	227.72
199001280300	0.26	4.39	275.83
199001280600	0.33	4.46	281.49
199001280900	0.36	4.26	281.82
199001281200	0.37	3.81	283.38
199001281500	0.37	3.6	284.62
199001281800	0.33	3.62	283.54
199001282100	0.3	3.69	282.15
199001290000	0.28	3.82	281.16
199001290300	0.27	3.99	280.54
199001290600	0.26	4.18	279.21
199001290900	0.25	4.38	276.85
199001291200	0.24	4.56	274.17
199001291500	0.22	4.73	271.76
199001291800	0.21	4.87	270.03
199001292100	0.19	4.97	268.95
199001300000	0.18	5.05	268.29
199001300300	0.17	5.09	267.89
199001300600	0.16	4.86	262.31
199001300900	0.18	4.16	230.45
199001301200	0.22	3.95	201.03
199001301500	0.25	4.07	188.27
199001301800	0.3	4.24	182.53
199001302100	0.32	4.41	180.82
199001310000	0.32	4.42	181.75
199001310300	0.31	4.28	183.94
199001310600	0.29	4.12	186.61
199001310900	0.28	3.96	188.97
199001311200	0.28	3.9	192.78
199001311500	0.27	4.03	194.77
199001311800	0.24	4.15	200.27
199001312100	0.22	4.13	221.85
199002010000	0.21	4.13	260.81
199002010300	0.21	4.2	281.08
199002010600	0.21	4.38	290.42
199002010900	0.22	4.64	291.06
199002011200	0.24	5.18	282.96
199002011500	0.25	5.9	274.52
199002011800	0.27	6.46	269.98
199002012100	0.29	6.71	268.62
199002020000	0.31	6.74	268.39
199002020300	0.32	6.63	268.19
199002020600	0.33	6.31	268.43
199002020900	0.37	5.94	268.94
199002021200	0.42	5.73	269.29
199002021500	0.45	5.65	269.35
199002021800	0.47	5.59	269.13
199002022100	0.46	5.49	268.52
199002030000	0.45	5.36	267.62
199002030300	0.43	5.24	266.64
199002030600	0.41	5.15	265.97
199002030900	0.4	5.1	265.79
199002031200	0.39	5.08	266.09
199002031500	0.37	5.05	266.64
199002031800	0.34	5.01	267.04
199002032100	0.32	4.95	267.38
199002040000	0.28	4.87	268.77
199002040300	0.25	4.84	270.83
199002040600	0.23	4.84	273.33
199002040900	0.21	4.72	277.92
199002041200	0.22	4.31	287.47
199002041500	0.22	3.97	294.46
199002041800	0.21	3.82	296.06
199002042100	0.2	3.66	296.29
199002050000	0.18	3.52	294.46
199002050300	0.17	3.32	290.91
199002050600	0.18	3.08	286.27
199002050900	0.21	2.85	279.46
199002051200	0.26	2.96	273.43
199002051500	0.29	3.48	270.21
199002051800	0.35	4.16	269.14
199002052100	0.42	4.96	269.32
199002060000	0.5	5.66	270.43
199002060300	0.58	5.94	276.35
199002060600	0.66	5.94	286.25
199002060900	0.66	5.85	290.99
199002061200	0.58	5.75	290.48
199002061500	0.5	5.72	284.59
199002061800	0.45	5.71	275.02
199002062100	0.44	5.64	266.45
199002070000	0.43	5.43	260.15
199002070300	0.43	5.16	249.17
199002070600	0.47	4.88	229.05
199002070900	0.52	4.82	214.23
199002071200	0.53	4.91	209.78
199002071500	0.54	4.92	207
199002071800	0.59	4.8	206.38
199002072100	0.68	4.78	211.06
199002080000	0.75	4.93	215.41
199002080300	0.74	4.97	217.09
199002080600	0.71	4.89	217.35
199002080900	0.69	4.84	219.97
199002081200	0.68	4.81	223.08
199002081500	0.66	4.73	224.05
199002081800	0.61	4.68	225.01
199002082100	0.54	4.62	225.25
199002090000	0.47	4.53	225.29
199002090300	0.41	4.41	225.82
199002090600	0.34	4.29	226.84
199002090900	0.29	4.13	229.5
199002091200	0.26	3.92	237.54
199002091500	0.23	3.82	245.24
199002091800	0.2	3.9	246.54
199002092100	0.21	3.47	261.67
199002100000	0.53	3.2	283.28
199002100300	0.91	4.08	280.63
199002100600	1.09	4.56	277.4
199002100900	1.19	4.7	275.16
199002101200	1.22	4.85	274.08
199002101500	1.16	4.83	272.91
199002101800	1.11	4.74	271.5
199002102100	1.03	4.71	270.06
199002110000	0.95	4.64	265.4
199002110300	0.99	4.54	252.75
199002110600	1.25	4.86	238.3
199002110900	1.85	5.68	232.49
199002111200	2.37	6.37	231.76
199002111500	2.65	6.86	233.49
199002111800	2.98	7.32	237.38
199002112100	3.12	7.62	243.33
199002120000	3.2	7.76	249.86
199002120300	3.26	7.79	254.76
199002120600	3.18	7.7	258.3
199002120900	3.01	7.5	261.6
199002121200	2.72	7.22	263.69
199002121500	2.38	6.89	264.35
199002121800	2.01	6.54	264.58
199002122100	1.65	6.2	263.46
199002130000	1.4	5.78	258.55
199002130300	1.3	5.38	247.3
199002130600	1.5	5.36	233.18
199002130900	2.01	5.8	224.61
199002131200	2.34	6.33	220.72
199002131500	2.55	6.66	224.83
199002131800	2.55	6.73	233.71
199002132100	2.5	6.79	237.57
199002140000	3.09	7.04	243.3
199002140300	3.32	7.69	250.98
199002140600	3.08	7.81	253.96
199002140900	3.13	7.82	256.46
199002141200	3.29	8	258.44
199002141500	3.49	8.34	261.28
199002141800	3.5	8.55	261.46
199002142100	3.53	8.43	262.36
199002150000	3.14	8.22	263.45
199002150300	2.73	7.77	263.76
199002150600	2.3	7.53	261.73
199002150900	1.92	7.37	258.89
199002151200	1.66	7.17	255.79
199002151500	1.52	6.93	251.88
199002151800	1.45	6.75	248.15
199002152100	1.39	6.71	245.73
199002160000	1.36	6.62	243.43
199002160300	1.38	6.38	240.96
199002160600	1.44	6.14	240.7
199002160900	1.47	6.15	242.43
199002161200	1.47	6.25	245.85
199002161500	1.54	6.28	249.18
199002161800	1.64	6.28	250.96
199002162100	1.72	6.28	251.11
199002170000	1.69	6.37	251.55
199002170300	1.58	6.52	251.71
199002170600	1.48	6.55	251.18
199002170900	1.39	6.52	250.82
199002171200	1.3	6.4	252.09
199002171500	1.32	5.97	254.83
199002171800	1.47	5.6	256.98
199002172100	1.87	5.68	263.76
199002180000	2.47	6.34	271.86
199002180300	2.81	6.88	276.82
199002180600	2.99	7.19	287.48
199002180900	3.19	7.5	298.47
199002181200	3.08	7.58	303.46
199002181500	2.87	7.47	306.46
199002181800	2.51	7.34	307.92
199002182100	2.19	7.06	308.92
199002190000	1.91	6.8	308.71
199002190300	1.65	6.48	307.74
199002190600	1.41	6.32	306.65
199002190900	1.21	6.12	305.43
199002191200	1.05	5.88	303.29
199002191500	0.9	5.61	299.91
199002191800	0.77	5.36	295.34
199002192100	0.65	5.18	290.21
199002200000	0.56	5.12	285.08
199002200300	0.51	5.12	279.67
199002200600	0.47	5.22	276.51
199002200900	0.44	5.26	274.2
199002201200	0.4	5.24	272.59
199002201500	0.37	5.15	271.97
199002201800	0.34	5.07	271.55
199002202100	0.31	4.98	271.74
199002210000	0.29	4.88	273.45
199002210300	0.28	4.82	280.29
199002210600	0.31	4.87	293.84
199002210900	0.36	4.96	304.11
199002211200	0.38	5.02	307.9
199002211500	0.35	4.96	308.24
199002211800	0.3	4.74	307.23
199002212100	0.26	4.39	307.2
199002220000	0.23	4.22	308.04
199002220300	0.22	4.13	310.04
199002220600	0.22	3.89	314.45
199002220900	0.24	3.78	317.36
199002221200	0.27	3.83	317.38
199002221500	0.29	3.81	316.54
199002221800	0.27	3.69	315.6
199002222100	0.24	3.43	314.3
199002230000	0.21	3.18	311.99
199002230300	0.23	3.22	310.48
199002230600	0.27	3.53	310.09
199002230900	0.3	3.46	308.64
199002231200	0.35	3.19	305.53
199002231500	0.38	3.25	302.11
199002231800	0.39	3.35	298.02
199002232100	0.41	3.6	294.67
199002240000	0.42	3.83	294.2
199002240300	0.41	3.97	294.78
199002240600	0.4	4.06	296.05
199002240900	0.39	4.14	298.1
199002241200	0.38	4.15	299.67
199002241500	0.34	4.04	299.55
199002241800	0.3	3.88	297.07
199002242100	0.26	3.67	292.21
199002250000	0.25	3.53	286.99
199002250300	0.25	3.53	284.17
199002250600	0.25	3.57	283.02
199002250900	0.25	3.38	276.37
199002251200	0.24	3.21	271.07
199002251500	0.22	3.35	271.05
199002251800	0.19	3.54	270.05
199002252100	0.19	3.62	267.94
199002260000	0.19	3.7	266.2
199002260300	0.2	3.71	265.24
199002260600	0.21	3.69	265.23
199002260900	0.27	3.25	262.68
199002261200	0.29	3.29	263.92
199002261500	0.28	3.46	265.26
199002261800	0.29	3.36	262.79
199002262100	0.33	3.14	257.61
199002270000	0.37	3.05	253.05
199002270300	0.37	3.01	249.45
199002270600	0.37	2.92	245.57
199002270900	0.37	2.98	246.16
199002271200	0.44	3.28	249.3
199002271500	0.59	3.84	250.29
199002271800	0.81	4.24	248.39
199002272100	1.1	4.65	250.51
199002280000	1.26	4.96	250.87
199002280300	1.46	5.1	244.46
199002280600	1.64	5.38	238.19
199002280900	1.83	5.65	231.81
199002281200	2.11	5.93	229.18
199002281500	2.56	6.32	226.81
199002281800	3.24	6.92	229.01
199002282100	3.48	7.67	240.57
199003010000	3.6	8.16	246.99
199003010300	3.95	9.11	250.09
199003010600	4.08	9.96	253.03
199003010900	3.92	10.26	256.51
199003011200	3.54	10.1	260.7
199003011500	3.08	9.63	263.42
199003011800	2.7	8.99	264.62
199003012100	2.4	8.43	264.78
199003020000	2.08	7.86	264.12
199003020300	1.8	7.2	262.48
199003020600	1.58	6.63	260.56
199003020900	1.36	6.32	258.49
199003021200	1.18	6.18	256.08
199003021500	1.05	6.08	253.8
199003021800	0.97	5.98	251.91
199003022100	0.9	5.99	252.29
199003030000	0.85	6.03	253.51
199003030300	0.79	6.06	254.73
199003030600	0.73	6.09	255.8
199003030900	0.67	6.07	256.78
199003031200	0.61	6.04	257.74
199003031500	0.55	5.98	258.69
199003031800	0.5	5.91	259.62
199003032100	0.45	5.83	260.55
199003040000	0.4	5.73	261.59
199003040300	0.36	5.57	263.02
199003040600	0.34	5.15	266.6
199003040900	0.39	3.96	276.94
199003041200	0.47	3.58	278.46
199003041500	0.51	3.55	276.54
199003041800	0.58	3.74	275.49
199003042100	0.63	4.27	277.44
199003050000	0.84	5.26	286.72
199003050300	1.05	6.02	288.96
199003050600	1.13	6.39	286.58
199003050900	1.11	6.48	282.29
199003051200	1.06	6.4	277.52
199003051500	0.96	6.42	275.44
199003051800	0.84	6.38	273.07
199003052100	0.73	6.25	270.07
199003060000	0.64	6.05	266.72
199003060300	0.58	5.77	264.99
199003060600	0.55	5.44	268.06
199003060900	0.54	5.14	272.42
199003061200	0.52	4.83	275.07
199003061500	0.47	4.68	272.58
199003061800	0.43	4.6	268.08
199003062100	0.42	4.39	267.52
199003070000	0.43	4.19	269.58
199003070300	0.44	4.21	269.21
199003070600	0.45	4.25	267.71
199003070900	0.52	3.86	265.92
199003071200	0.6	3.84	265.19
199003071500	0.61	3.98	264.74
199003071800	0.62	4.06	264.5
199003072100	0.64	4.15	265.22
199003080000	0.66	4.26	266.58
199003080300	0.65	4.32	267.72
199003080600	0.6	4.34	268.07
199003080900	0.54	4.3	267.9
199003081200	0.49	4.22	267.77
199003081500	0.43	4.22	267.28
199003081800	0.38	4.28	266.63
199003082100	0.34	4.36	266.81
199003090000	0.3	4.42	267.93
199003090300	0.27	4.49	268.38
199003090600	0.24	4.52	268.43
199003090900	0.22	4.41	270.72
199003091200	0.2	4.19	274.83
199003091500	0.18	4.09	275.55
199003091800	0.16	3.88	278.97
199003092100	0.15	3.58	286.26
199003100000	0.15	3.24	297.56
199003100300	0.14	3.06	303.48
199003100600	0.14	2.87	306.27
199003100900	0.17	2.63	310.43
199003101200	0.21	2.57	310.35
199003101500	0.24	2.5	303.54
199003101800	0.32	2.68	290.03
199003102100	0.49	3.27	279.94
199003110000	0.72	3.99	276.29
199003110300	0.89	4.32	271.28
199003110600	0.99	4.6	265.06
199003110900	1.02	4.93	260.48
199003111200	1.06	5.38	258.84
199003111500	1.2	5.88	262.97
199003111800	1.31	6.38	266.93
199003112100	1.3	6.81	269.6
199003120000	1.22	7.01	275.77
199003120300	1.16	6.95	284.23
199003120600	1.04	6.74	289.1
199003120900	0.91	6.32	288.34
199003121200	0.77	5.9	282.25
199003121500	0.63	5.62	273.59
199003121800	0.53	5.46	263.94
199003122100	0.46	5.4	258.22
199003130000	0.42	5.28	261.09
199003130300	0.41	4.95	272.06
199003130600	0.42	4.55	281.15
199003130900	0.4	4.41	279.27
199003131200	0.37	4.33	275.17
199003131500	0.44	3.86	274.36
199003131800	0.74	3.96	274.83
199003132100	1.02	4.5	275.42
199003140000	1.15	4.79	275.7
199003140300	1.15	4.92	274.85
199003140600	1.09	4.86	273.38
199003140900	1	4.78	271.57
199003141200	0.9	4.66	269.64
199003141500	0.8	4.55	268.17
199003141800	0.7	4.48	267.38
199003142100	0.61	4.39	267.06
199003150000	0.53	4.31	267.05
199003150300	0.46	4.23	267.33
199003150600	0.39	4.15	267.89
199003150900	0.33	4.07	268.05
199003151200	0.28	4	268.14
199003151500	0.24	3.93	268.25
199003151800	0.2	3.81	270.16
199003152100	0.17	3.61	277.16
199003160000	0.16	3.32	290
199003160300	0.14	3.13	303
199003160600	0.13	2.95	316.1
199003160900	0.15	3.03	322.77
199003161200	0.18	3.52	321.59
199003161500	0.18	3.71	320.34
199003161800	0.17	3.44	322.21
199003162100	0.17	3.23	325.19
199003170000	0.19	3.2	323.96
199003170300	0.18	3.33	319.55
199003170600	0.2	3.57	314.54
199003170900	0.23	3.64	313.42
199003171200	0.25	3.65	312.43
199003171500	0.27	3.52	313.34
199003171800	0.26	3.39	312.47
199003172100	0.24	3.24	310.31
